rendszam,ido_masodperc,osszeg_euro,fizetesi_mod
JKL-321,5625,114.13,KARTYA
GHI-789,956,38.14,KARTYA
ABC-123,297,5.84,UTALAS
PQR-987,3476,136.78,CSEKK
DEF-456,978,46.36,KESZPENZ
DEF-456,1517,65.61,KARTYA
ABC-123,6046,99.21,KESZPENZ
DEF-456,1823,80.67,CSEKK
PQR-987,328,7.18,CSEKK
MNO-654,5974,268.36,KARTYA
MNO-654,767,23.67,CSEKK
JKL-321,1059,30.46,KARTYA
MNO-654,6596,310.15,-
PQR-987,3933,122.15,CSEKK
MNO-654,3264,50.46,KESZPENZ
DEF-456,1990,86.84,UTALAS
PQR-987,667,10.77,UTALAS
GHI-789,4916,98.92,UTALAS
DEF-456,2866,120.36,UTALAS
ABC-123,2896,41.21,-
MNO-654,2012,33.22,CSEKK
PQR-987,3899,180.66,-
ABC-123,4286,203.71,-
JKL-321,1166,57.88,KARTYA
GHI-789,356,5.52,UTALAS
DEF-456,6720,94.48,KESZPENZ
MNO-654,1352,67.02,KESZPENZ
PQR-987,5550,161.8,UTALAS
MNO-654,6959,295.13,KESZPENZ
JKL-321,7040,194.95,KESZPENZ
JKL-321,5891,158.31,UTALAS
PQR-987,6790,145.05,-
MNO-654,3425,114.07,KESZPENZ
DEF-456,4598,91.52,-
MNO-654,3356,98.6,-
ABC-123,1733,73.55,KARTYA
JKL-321,2829,131.81,KESZPENZ
DEF-456,904,24.36,CSEKK
PQR-987,1058,40.85,KESZPENZ
GHI-789,516,15.12,-
PQR-987,3982,189.42,KARTYA
ABC-123,121,5.44,KARTYA
GHI-789,3707,43.96,KESZPENZ
DEF-456,1177,15.21,KESZPENZ
PQR-987,4636,116.01,KARTYA
DEF-456,2092,78.9,KESZPENZ
JKL-321,3238,128.72,-
DEF-456,2647,91.52,UTALAS
MNO-654,995,49.04,UTALAS
PQR-987,3110,119.47,CSEKK
MNO-654,4629,93.23,KARTYA
PQR-987,4220,124.02,CSEKK
JKL-321,1496,39.61,CSEKK
MNO-654,2293,60.33,KARTYA
MNO-654,6728,224.23,CSEKK
MNO-654,5184,133.79,UTALAS
JKL-321,2528,97.62,UTALAS
PQR-987,2470,109.09,-
JKL-321,3802,92.24,KESZPENZ
DEF-456,3420,36.22,KARTYA
GHI-789,2051,41.6,KESZPENZ
GHI-789,3277,69.08,KESZPENZ
MNO-654,1647,28.97,KARTYA
DEF-456,1263,37.4,KARTYA
JKL-321,374,6.72,CSEKK
MNO-654,3849,110.1,UTALAS
PQR-987,4705,214.32,-
DEF-456,1559,54.19,KESZPENZ
GHI-789,2651,90.76,KESZPENZ
PQR-987,7133,88.88,-
JKL-321,6706,292.0,KARTYA
JKL-321,3997,94.18,UTALAS
DEF-456,6959,272.1,KARTYA
DEF-456,6050,221.45,-
PQR-987,6166,162.26,KESZPENZ
DEF-456,2301,39.88,KARTYA
ABC-123,2104,79.83,KESZPENZ
JKL-321,2626,107.64,-
DEF-456,844,29.52,-
DEF-456,2463,104.28,UTALAS
PQR-987,3771,166.86,KESZPENZ
PQR-987,6455,269.02,CSEKK
GHI-789,5034,55.11,KARTYA
JKL-321,4738,71.7,-
MNO-654,3504,102.8,KARTYA
GHI-789,6460,240.57,KARTYA
DEF-456,2208,80.8,-
MNO-654,3688,128.15,KESZPENZ
MNO-654,6003,147.33,CSEKK
ABC-123,3476,155.35,UTALAS
MNO-654,2723,52.2,KESZPENZ
MNO-654,4474,203.59,KARTYA
PQR-987,450,21.15,KESZPENZ
ABC-123,4310,102.66,UTALAS
ABC-123,1058,51.13,-
DEF-456,6792,253.85,-
PQR-987,1143,47.65,KESZPENZ
ABC-123,2358,73.63,KARTYA
ABC-123,6298,112.5,KARTYA
GHI-789,928,26.25,UTALAS
